question_id	answer_id	answer_text	is_correct_answer
1584	1	конституции Российской Федерации	1
1584	2	федеральных законах и иных нормативных правовых актах Российской Федерации	0
1584	3	"общепризнанных принципах и нормах международного права, и международных договорах Российской Федерации"	0
1584	4	иных правовых актах субъектов Российской Федерации.	0
1585	1	"дисциплинарную, административную, гражданско-правовую, уголовную."	1
1585	2	"уголовную, дисциплинарную, административную"	0
1585	3	"гражданско-правовую, уголовную, дисциплинарную"	0
1585	4	"административную, уголовную, гражданско-правовую"	0
1586	1	по просьбе родственников (родителей или детей) или законных представителей с целью получить информацию о состоянии здоровья гражданина	1
1586	2	"при угрозе распространения инфекционных заболеваний, массовых отравлений и поражений"	0
1586	3	"в целях обследования и лечения гражданина, не способного из-за своего состояния выразить свою волю"	0
1586	4	"по запросу органов дознания и следствия, прокурора и суда в связи с проведением расследования или судебным разбирательством"	0
1587	1	"медицинская помощь, оказываемая в рамках клинической апробации"	1
1587	2	паллиативная медицинская помощь в медицинских организациях.	0
1587	3	"специализированная медицинская помощь, высокотехнологичная медицинская помощь, являющаяся частью специализированной медицинской помощи"	0
1587	4	"скорая медицинская помощь, в том числе скорая специализированная"	0
1588	1	обеспечение баланса между обязательствами государства по предоставлению населению гарантированной (бесплатной) медицинской помощи и выделяемых для этого ресурсов	1
1588	2	предоставление населению гарантированной (бесплатной) медицинской помощи в рамках государственных бюджетных квот	0
1588	3	обеспечение баланса между средствами обязательного и добровольного медицинского страхования	0
1588	4	предоставление населению гарантированной (бесплатной) медицинской помощи в объеме выделяемых на эти цели ресурсов из фондов добровольного медицинского страхования	0
1589	1	страховой риск	1
1589	2	застрахованное лицо	0
1589	3	страховой случай	0
1589	4	"застрахованное лицо, которому предоставляется страховое обеспечение"	0
1590	1	исполнение обязательств по предоставлению застрахованному лицу необходимой медицинской помощи при наступлении страхового случая и по ее оплате медицинской организации	1
1590	2	исполнение обязательств по предоставлению застрахованному лицу медицинской помощи при возникновении страхового риска и по ее оплате медицинской организации	0
1590	3	исполнение обязательств по предоставлению застрахованному лицу своевременной медицинской помощи при возникновении страхового риска или страхового случая	0
1590	4	исполнение обязательств по предоставлению лицу необходимой медицинской помощи при наступлении страхового случая и по ее оплате медицинской организации	0
1591	1	Московским городским фондом ОМС	1
1591	2	Московским городским фондом ОМС совместно с Федеральным фондом ОМС	0
1591	3	Московским городским фондом ОМС совместно с Департаментом здравоохранения города Москвы	0
1591	4	Департаментом здравоохранения города Москвы	0
1592	1	гражданско-правовую ответственность	1
1592	2	административную ответственность	0
1592	3	уголовную ответственность	0
1592	4	освобождение от ответственности	0
1593	1	"определения уровня квалификации специалиста, соответствие его профессионально-должностным требованиям"	1
1593	2	определения готовности специалиста к самостоятельной деятельности	0
1593	3	лицензирования профессиональной деятельности	0
1593	4	определения разряда оплаты труда работника	0
1594	1	подтверждает соответствие подготовки специалиста государственным стандартам образования	1
1594	2	способствует повышению должностного оклада специалиста	0
1594	3	дает медицинской сестре право на занятие частной практикой	0
1594	4	"служит документом, на основании которого присваивается квалификационная категория"	0
1595	1	"род деятельности, требующий определенных знаний, умений и навыков"	1
1595	2	"степень годности к какому-либо виду труда, уровень подготовленности"	0
1595	3	"определенный объем работы специальности, регламентированный нормативными разрядами труда"	0
1595	4	"показатель и измеритель объема помощи, применяемый в штатном расписании"	0
1596	1	медицинская карта амбулаторного больного	1
1596	2	единый талон амбулаторного пациента	0
1596	3	журнал регистрации инфекционных заболеваний в МО и ЦСЭН	0
1596	4	"листок учета движения больных и коечного фонда стационара, ф.№ 007/у"	0
1597	1	(число проведенных больными койко-дней) / (число пользованных больных)	1
1597	2	(число койко-дней фактически проведенных больными) / (среднегодовое число коек)	0
1597	3	(число проведенных больными койко-дней) / (число дней в году)	0
1597	4	(число госпитализированных больных) / (средние сроки лечения больного в стационаре)	0
1598	1	(число госпитализированных больных) / (среднегодовое число коек)	1
1598	2	(число госпитализированных больных) / (число дней работы койки в году)	0
1598	3	(число госпитализированных больных) / (среднее время пребывания больного на койке)	0
1598	4	(число госпитализированных больных) / (средние сроки лечения больного в стационаре)	0
1599	1	"процентное отношение числа проведенных хирургических операций к числу больных, выбывших из хирургического отделения"	1
1599	2	"процентное отношение числа прооперированных больных к числу больных, выбывших из хирургического отделения"	0
1599	3	"процентное отношение числа прооперированных больных к числу больных, выписанных из хирургического отделения"	0
1599	4	"процентное отношение числа проведенных хирургических операций к числу больных, выписанных из хирургического отделения"	0
1600	1	в ямке турецкого седла клиновидной кости	1
1600	2	между полушариями сразу за III желудочком над задней частью среднего мозга	0
1600	3	в гипоталамусе	0
1600	4	в клиновидной пазухе	0
1601	1	гипофиза	1
1601	2	гипоталамуса	0
1601	3	эпифиза	0
1601	4	нейроглии	0
1602	1	пролактин	1
1602	2	соматостатин	0
1602	3	соматомедин С	0
1602	4	окситоцин	0
1603	1	в гипоталамусе	1
1603	2	в нейрогипофизе	0
1603	3	в аденогипофизе	0
1603	4	в эпифизе	0
1604	1	соматостатин	1
1604	2	глюкагон	0
1604	3	эстрогены	0
1604	4	серотонин	0
1605	1	о суточной секреции гормона роста	1
1605	2	о тиреоидном статусе	0
1605	3	об адеватности секреции инсулина	0
1605	4	о состоянии фосфорно-кальциевого обмена	0
1606	1	становление и регуляция репродуктивной функции	1
1606	2	стимуляция роста и развития организма	0
1606	3	дифференцировка тканей и регуляция энергетического обмена	0
1606	4	поддержание водно-солевого баланса	0
1607	1	угнетает пульсирующую секрецию гонадолиберина	1
1607	2	стимулирует пульсирующую секрецию гонадолиберина	0
1607	3	стимулирует функцию яичников и тестикул	0
1607	4	вызывает ускорение полового развития у детей и подростков	0
1608	1	кортизол	1
1608	2	альдостерон	0
1608	3	дегидроэпиандростерон	0
1608	4	17-гидроксипрогестерон	0
1609	1	"трийодтиронин, кальцитонин"	1
1609	2	"трийодтиронин, паратгормон"	0
1609	3	"кальцитонин, мелатонин"	0
1609	4	"тиролиберин, кальцитонин"	0
1610	1	базальный уровень ТТГ	1
1610	2	стимулированный уровень ТТГ	0
1610	3	уровень Т3 св.	0
1610	4	уровень Т4 св.	0
1611	1	"определение в крови ТТГ, свободных фракций Т4 и Т3 "	1
1611	2	определение кальцитонина в крови	0
1611	3	"определение йода, связанного с белками"	0
1611	4	сканирование щитовидной железы с технецием	0
1612	1	медуллярного рака 	1
1612	2	тиреотоксической аденомы 	0
1612	3	папиллярного рака 	0
1612	4	фолликулярного рака 	0
1613	1	болезни Грейвса-Базедова	1
1613	2	хронического аутоиммунного тиреоидита	0
1613	3	послеродового тиреоидита	0
1613	4	цитокин-индуцированного тиреоидита	0
1614	1	способность узла к независимому от ТТГ синтезу и секреции тиреоидных гормонов	1
1614	2	отсутствие гормональной активности узлового образования	0
1614	3	конечная стадия хронического аутоиммунного тиреоидита	0
1614	4	"локальная гипертрофия долек щитовидной железы, имитирующая узел"	0
1615	1	TIRADS	1
1615	2	BETESDA	0
1615	3	NOSPECS	0
1615	4	ТNM	0
1616	1	1-2-й тип	1
1616	2	"4-й (а,в,с) тип"	0
1616	3	5-й тип	0
1616	4	6-й тип	0
1617	1	сцинтиграфия	1
1617	2	компьютерная томография	0
1617	3	МРТ	0
1617	4	лимфография	0
1618	1	узлового образования равным или более 1 см в диаметре или подозрительного фокального образования менее 1 см	1
1618	2	компенсированной функциональной автономии узловых образований	0
1618	3	неоднородной эхоструктуры ткани щитовидной железы	0
1618	4	множественных мелких фокальных образований до 5 мм в диаметре	0
1619	1	Bethesda	1
1619	2	TIRADS	0
1619	3	TNM	0
1619	4	NOSPECS	0
1620	1	С-пептид	1
1620	2	С-реактивный белок	0
1620	3	амилин	0
1620	4	адипонектин	0
1621	1	"гормоны желудочного-кишечного тракта, вырабатываемые в ответ на прием пищи и вызывающие стимуляцию секреции инсулина"	1
1621	2	"гормоны желудочного-кишечного тракта, вырабатываемые в ответ на прием пищи и вызывающие подавление секреции инсулина"	0
1621	3	"панкреатические гормоны, ускоряющие всасывание углеводов "	0
1621	4	"ферментные препараты, ускоряющие пищеварение"	0
1622	1	дипептидилпептидаза 4 типа	1
1622	2	глютаматдекарбоксилаза	0
1622	3	лактатдегидрогеназа	0
1622	4	инсулиназа	0
1623	1	пучковой зоны коры надпочечников	1
1623	2	клубочковой зоны коры надпочечников	0
1623	3	сетчатой зоны коры надпочечников	0
1623	4	мозгового вещества надпочечников	0
1624	1	адреналин	1
1624	2	альдостерон	0
1624	3	кортизол	0
1624	4	андростерон	0
1625	1	усиление реабсорбции ионов натрия в дистальных канальцах почек	1
1625	2	торможение реабсорбции ионов натрия в дистальных канальцах почек	0
1625	3	усиление реабсорбции калия в проксимальных канальцах почек	0
1625	4	усиление печеночного глюконеогенеза	0
1626	1	«Синактеном»	1
