question_id	topic_id	question_text	answer_id	answer_text	is_correct_answer
0	1	"Определение понятия "" Общественное здоровье""   "	1	важнейший национальный, медико-социальный, экономический ресурс и потенциал страны, обеспечивающий оптимальный уровень качества жизни населения, национальную безопасность страны	1
1	1	Основные стратегические цели развития здравоохранения Российской Федерации	1	увеличение численности  и продолжительности жизни населения	1
2	1	"Федеральные проекты в структуре Национального проекта"" Здравоохранение"""	1	развитие системы ПМСП, борьба с  сердечно-сосудистыми заболеваниями, борьба с онкологическими заболеваниями. Развитие медицинских кадров	1
3	2	"Определение понятия "" медицинская помощь"" согласно Федерального закона "" Об охране здоровья граждан в Российской Федерации"" от 21.11.2011 № 323-ФЗ"	1	комплекс мероприятий, направленных на поддержание  и (или) восстановление здоровья и включающих в себя предоставление  медицинских услуг	1
4	2	"Виды медицинской помощи, определенные ст.32 Федерального закона "" Об охране здоровья граждан в российской Федерации"" от 21.11.2011 № 323-ФЗ"	1	первичная медико-санитарная помощь, паллиативная медицинская помощь	1
5	2	Условия оказания медицинской помощи	1	амбулаторные условия и на дому	1
6	2	Формы оказания медицинской помощи 	1	экстренная	1
7	2	Клинические рекомендации  пересматриваются не реже, чем 	1	ежегодно	0
8	3	"Основная цель  охрана здоровья граждан   согласно Федерального закона "" Об охране здоровья граждан в Российской Федерации"" от 21.11.2011 № 323-ФЗ"	1	профилактика заболеваний, сохранение и укрепление физического и психического здоровья каждого человека, поддержание его долголетней активной жизни, предоставление ему медицинской помощи	1
9	3	"Влияние генома "" экосистемы"" на здоровье человека, по данным ВОЗ, составляет"	1	0.1	0
10	3	Цели диспансерного  динамического наблюдения  за гражданами, страдающими хроническими заболеваниями и функциональными расстройствами  	1	своевременное выявление, предупреждение осложнений заболеваний	1
11	3	К первой группе состояния здоровья относятся граждане, у которых  	1	не установлены хронические неинфекционные заболеваний	1
12	3	Основные неинфекционные заболевания, ведущие к преждевременной смертности в Европейском регионе, по данным ВОЗ	1	сердечно-сосудистые и  онкологические заболевания,диабет, хронические заболевания органов дыхания	1
13	3	Глобальная цель ВОЗ  по сокращению распространенности  употребления  табака среди лиц в возрасте от 15 лет и старше к 2025 году 	1	30%	1
14	3	Наибольшее значение среди факторов, формирующих здоровье населения крупных городов, по мнению ВОЗ, имеет	1	образ жизни	1
15	4	Субъектами медико-правовых отношений являются	1	субъекты, оказывающие медицинскую помощь	1
