question_id	topic_id	question_text	answer_id	answer_text	is_correct_answer
0	1	Экстренная профилактика, как мера воздействия на источник инфекции, преследует цели:	1	предотвратить течение болезни;	0
1	1	Критерии введения карантина:	1	пораженные особо опасными инфекциями	1
2	1	Основные мероприятия Роспотребнадзора в ЧС:	1	проведение санэпидразведки, наблюдение и лабораторный контроль за состоянием окружающей среды	1
3	1	Санитарно-эпидемиологические требования к качеству питьевой воды включают показатели и их нормативы, характеризующие еще 1 вариант ответа	1	эпидемиологическую безопасность	1
4	2	Когда проводится экстренная профилактика в очагах при возникновении ЧС	1	проводится при возникновении очагов бактериального заражения	1
5	2	Профилактика клостридиального колита	1	применять антибиотики	1
6	2	методы диагностики этиологии острой диареи	1	посев кала	1
7	2	Для диагностики гриппа применяют:	1	ПЦР	1
8	2	Подтверждает диагноз коронавирусной инфекции выявление:	1	антигенов	1
9	2	Симптомы кори:	1	катаральные явления	1
10	2	Синдромы коронавирусной инфекции:	1	катаральный	1
11	2	Вирус гепатита А передается путем: 	1	контактным	1
12	2	Вирус гепатита В передается путем:	1	фекально-оральным	0
13	2	Признаки холеры:	1	диарея, рвота	1
14	2	Для диагностики сибирской язвы используют:	1	бакпосев	1
15	2	При лихорадке Денге характерно:	1	лейкоцитоз	0
16	2	При геморрагической лихорадке с почечным синдромом развиваются:	1	ОПН	1
17	2	Тропическая малярия проявляетеся:	1	анемией	1
18	2	Диагностика столбняка может быть:	1	клинико-эпидемиологическая	1
19	2	ВИЧ-инфекция передается путем:	1	половым	1
20	3	При фармакокинетическом взаимодействии одно лекарственное средство может влиять на такие процессы другого, как:	1	Всасывание	1
21	3	Факторами риска нежелательных влияний лекарственного средства являются 	1	Пожилой и старческий возраст	1
22	3	Официальным источником информации о лекарственных средствах являются	1	Статьи из справочника под редакцией М.Д. Машковского	0
23	3	При сборе фармакологического анамнеза необходимо выяснить у пациента 	1	Применяемые в настоящее время ЛС	1
24	3	Оповещать о развитии НПР следует	1	При развитии непредвиденных НПР	0
25	4	Назовите виды медицинской помощи, установленные в Российской Федерации Федеральным законом №323-Ф3 от 21 ноября 2011 г.	1	Первая, доврачебная, врачебная, специализированная медицинская помощь	0
26	4	В основу медицинской сортировки при чрезвычайных ситуациях берется	1	Установление диагноза заболевания (поражения) и его прогноза	0
27	4	Алгоритм оценки состояния пострадавших на месте происшествия	1	Осмотр локальных повреждений, оценка дыхания, оценка показателей гемодинамики, оценка неврологических показателей	0
28	4	Аварийно-спасательные работы при ликвидации ЧС - это	1	Спасение людей	0
29	4	Принципы оказания медицинской помощи в ЧС:	1	Быстрота и достаточность	0
30	4	Режимы функционирования службы медицины катастроф:	1	Неотложный и экстренный режим	0
31	5	Одной из основных задач микробиологической диагностики, при возникновении эпидемий является:	1	установление источников инфекции	0
32	5	У человека чаще всего стрептококки вызывают заболевания:	1	верхних дыхательных путей	1
33	5	Эпидемический процесс, охватывающий все континенты - это:	1	спорадические случаи	0
34	5	Здоровье является предпосылкой для:	1	полноценного и гармонического развития человека	1
35	5	В России установлены категории нормативно-технической документации, определяющей требования к объектам стандартизации:	1	государственные стандарты (ГОСТ)	1
36	5	Особенностью внутрибольничных инфекций является:	1	один и тот же возбудитель может быть причиной развития многих нозологических форм	1
37	5	Распространение неспецифических внутрибольничных инфекций связано с:	1	неоправданно широким применением антибактериальных препаратов и изменением реактивности человека и экологии микробов	1
38	6	"Определение понятия "" Общественное здоровье""   "	1	важнейший национальный, медико-социальный, экономический ресурс и потенциал страны, обеспечивающий оптимальный уровень качества жизни населения, национальную безопасность страны	1
39	1	Основные стратегические цели развития здравоохранения Российской Федерации	1	увеличение численности  и продолжительности жизни населения	1
40	6	"Федеральные проекты в структуре Национального проекта"" Здравоохранение"""	1	развитие системы ПМСП, борьба с  сердечно-сосудистыми заболеваниями, борьба с онкологическими заболеваниями. Развитие медицинских кадров	1
41	6	"Определение понятия "" медицинская помощь"" согласно Федерального закона "" Об охране здоровья граждан в Российской Федерации"" от 21.11.2011 №323-ФЗ"	1	комплекс мероприятий, направленных на поддержание  и (или) восстановление здоровья и включающих в себя предоставление  медицинских услуг	1
42	6	Условия оказания медицинской помощи:	1	амбулаторные условия и на дому	1
43	6	Формы оказания медицинской помощи 	1	экстренная	1
44	6	Цели диспансерного  динамического наблюдения  за гражданами, страдающими хроническими заболеваниями и функциональными расстройствами  	1	своевременное выявление, предупреждение осложнений заболеваний	1
45	6	Основные неинфекционные заболевания, ведущие к преждевременной смертности в Европейском регионе, по данным ВОЗ	1	сердечно-сосудистые и  онкологические заболевания,диабет, хронические заболевания органов дыхания	1
46	6	Наибольшее значение среди факторов, формирующих здоровье населения крупных городов, по мнению ВОЗ, имеет	1	образ жизни	1
47	6	Субъектами медико-правовых отношений являются	1	субъекты, оказывающие медицинскую помощь	1
48	6	Организация  охраны здоровья граждан в Российской Федерации осовывается  на функционировании и развитии систем здравоохранения 	1	государственной, муниципальной. Частной	1
49	6	Участники обязательного медицинского страхования	1	Федеральный фонд ОМС, территориальные фонды ОМС, застрахованные лица	0
50	6	Программа государственных гарантий оказания гражданам Российской Федерации бесплатной медицинской помощи предусматривает	1	условия оказания медицинской помощи, доступность медицинской помощи	1
51	6	Формы контроля качества и безопасности  медицинской деятельности 	1	государственный, ведомственный, внутренний	1
52	6	Внутренний контроль качества и безопасности  медицинской деятельности осуществляется организациями систем здравоохранения	1	частной	0
53	6	Информатизация здравоохранения - это	1	процесс проведения комплекса мероприятий, направленный  на своевременное и полное обеспечение участников того или иного вида деятельности в сфере здравоохранения  необходимой информацией, определенным образом переработанной и, при необходимости, преобразованной	1
54	6	Дистанционное наблюдение за состоянием здоровья пациента назначается	1	лечащим врачом после очного приема ( осмотра,консультации)	1
55	6	Документирование информации об оказании медицинской помощи пациенту с применением телемедицинских технологий  проводится	1	с использованием только оригинальной подписи медицинского работника	0
56	6	Медицинская статистика изучает 	1	основные закономерности и тенденции здоровья населения и системы здравоохранения с использованием методов математического анализа	1
57	6	Основные разделы медицинской статистики 	1	статистика здоровья населения, статистика здравоохранения	1
58	6	Анализ заболеваемости населения позволяет   давать оценку  и принимать  решения   	1	по потребности населения в медицинской помощи, коечном фонде, численности медицинских кадров, оснащении и в других видах ресурсов здравоохранения	1
59	7	Рациональной тактикой догоспитального лечения пострадавших с напряженным пневмотораксом является	1	Быстрая госпитализация	0
60	7	Для ожогового шока характерно	1	Гиперволемия	0
61	7	Основным препаратом в экстренном лечении анафилактического шока является	1	Преднизолон	0
62	7	Наиболее вероятными признаками проникающей раны живота являются	1	эвентрация, истечение из раны содержимого кишечника	1
63	7	При венозном кровотечении  повязка накладывается	1	Выше места повреждения	0
64	7	Прием Геймлиха - это	1	Ритмичное надавливание на диафрагму	0
65	7	При отеке гортани в качестве мер по обеспечению проходимости дыхательных путей показано	1	Введение адреналина	0
66	7	При сердечно-легочной реанимации у взрослых разовая доза адреналина составляет	1	1 мг	1
67	7	У взрослых суммарная доза адреналина за время сердечно-легочной реанимации составляет	1	10 мг	0
68	7	Препаратом выбора для лечения желудочковой тахикардии типа пируэт является	1	Калия хлорид	0
69	7	У взрослых сердечно-легочную реанимацию начинают при	1	Признаках отравления	0
70	7	При проведении сердечно-легочной реанимации наивысший приоритет имеет	1	Вентиляция легких	0
71	7	 К лекарственным веществам, наиболее безопасным для снижения температуры у детей любого возраста, относятся	1	Преднизолон	0
72	7	Характерным признаком перелома костей основания черепа является	1	кровоподтек под глазом	0
73	7	Промывание желудка на догоспитальном этапе при отравлении ядами прижигающего действия проводится                       	1	теплой водой без зонда	0
74	7	При отравлении наркотиками специфическая терапия заключается во введении	1	кофеина	0
